Raw;Time;Signal;Price;Max Price;Min Price;Profit (1);Profit (1%)
Shares Jess Bot, [23.08.2022 17:31] Buy signal for NVDA:NASDAQ 2022-08-23 09:30:00 170.725 "engulfing(5min) : 24 | 1.50% / 0.17%;23.08.2022 17:31;engulfing(5min);170.725
Shares Jess Bot, [23.08.2022 17:31] Buy signal for NVDA:NASDAQ 2022-08-23 09:30:00 170.725 "big-c(5min) : 34 | 1.33% / 0.10%;23.08.2022 17:31;big-c(5min);170.725
Shares Jess Bot, [23.08.2022 17:37] Buy signal for NVDA:NASDAQ 2022-08-23 09:35:00 172.25 "mama(5min) : 15 | 1.70% / 0.25%;23.08.2022 17:37;mama(5min);172.25
Shares Jess Bot, [23.08.2022 17:43] Buy signal for NVDA:NASDAQ 2022-08-23 09:30:00 171.03 "vwap(15min) : 68 | 1.55% / 0.24%;23.08.2022 17:43;vwap(15min);171.03
Shares Jess Bot, [23.08.2022 17:47] Buy signal for NVDA:NASDAQ 2022-08-23 09:30:00 170.8406 "engulfing(30min) : 6 | 2.49% / 0.01%;23.08.2022 17:47;engulfing(30min);170.8406
Shares Jess Bot, [23.08.2022 17:48] Buy signal for NVDA:NASDAQ 2022-08-23 09:45:00 172.18 "big-c(5min) : 34 | 1.33% / 0.10%;23.08.2022 17:48;big-c(5min);172.18
Shares Jess Bot, [23.08.2022 17:53] Buy signal for NVDA:NASDAQ 2022-08-23 09:50:00 173.36 "big-c(5min) : 34 | 1.33% / 0.10%;23.08.2022 17:53;big-c(5min);173.36
Shares Jess Bot, [23.08.2022 18:02] Buy signal for NVDA:NASDAQ 2022-08-23 10:00:00 172.805 "mama(15min) : 7 | 1.93% / 0.37%;23.08.2022 18:02;mama(15min);172.805
Shares Jess Bot, [23.08.2022 18:07] Buy signal for NVDA:NASDAQ 2022-08-23 10:00:00 173.36 "mama(15min) : 7 | 1.93% / 0.37%;23.08.2022 18:07;mama(15min);173.36
Shares Jess Bot, [23.08.2022 18:10] Buy signal for NVDA:NASDAQ 2022-08-23 10:05:00 173.8499 "big-c(5min) : 34 | 1.33% / 0.10%;23.08.2022 18:10;big-c(5min);173.8499
Shares Jess Bot, [23.08.2022 18:52] Buy signal for NVDA:NASDAQ 2022-08-23 10:45:00 173.39 "engulfing(15min) : 9 | 2.02% / 0.08%;23.08.2022 18:52;engulfing(15min);173.39
Shares Jess Bot, [23.08.2022 18:55] Buy signal for NVDA:NASDAQ 2022-08-23 10:45:00 172.09 "vwap(15min) : 68 | 1.55% / 0.24%;23.08.2022 18:55;vwap(15min);172.09
Shares Jess Bot, [23.08.2022 19:09] Buy signal for NVDA:NASDAQ 2022-08-23 11:05:00 172.09 "engulfing(5min) : 24 | 1.50% / 0.17%;23.08.2022 19:09;engulfing(5min);172.09
Shares Jess Bot, [23.08.2022 19:11] Buy signal for NVDA:NASDAQ 2022-08-23 11:05:00 172.5944 "big-c(5min) : 34 | 1.33% / 0.10%;23.08.2022 19:11;big-c(5min);172.5944
Shares Jess Bot, [23.08.2022 19:12] Buy signal for NVDA:NASDAQ 2022-08-23 11:10:00 172.4291 "mama(5min) : 15 | 1.70% / 0.25%;23.08.2022 19:12;mama(5min);172.4291
Shares Jess Bot, [23.08.2022 19:37] Buy signal for NVDA:NASDAQ 2022-08-23 11:35:00 173.06 "big-c(5min) : 34 | 1.33% / 0.10%;23.08.2022 19:37;big-c(5min);173.06
Shares Jess Bot, [23.08.2022 19:57] Buy signal for NVDA:NASDAQ 2022-08-23 11:45:00 172.21 "vwap(15min) : 68 | 1.55% / 0.24%;23.08.2022 19:57;vwap(15min);172.21
Shares Jess Bot, [23.08.2022 20:00] Buy signal for NVDA:NASDAQ 2022-08-23 11:45:00 172.2977 "vwap(15min) : 68 | 1.55% / 0.24%;23.08.2022 20:00;vwap(15min);172.2977
